#Org.,Pro.,Eco.,Descripción,Créditos Iniciales
H01,232,15200,OTROS INCENTIVOS AL RENDIMIENTO,772.53
H01,232,16000,SEGURIDAD SOCIAL,66495.38
H01,232,16204,ACCIÓN SOCIAL,1900.93
H01,232,16205,SEGUROS,339.51
H01,232,22612,PUNTO MUNICIPAL SOLIDARIO,2000
H01,232,22614,DESARROLLO DEL PACTO DE ESTADO CONTRA LA VIOLENCIA DE GENERO,25864
H01,232,22624,PREVENCIÓN Y SENSIBILIZACIÓN,52467.94
H01,232,22625,CONCILIACIÓN Y CORRESPONSABILIDAD,28010
H01,232,22626,IGUALDAD DE OPORTUNIDADES,8000
H01,232,22754,PROGRAMAS Y ACTIVIDADES CONCEJALIA DE LA MUJER,250000
H01,232,22760,PLAN DE IGUALDAD,45000
H02,233,13000,RETRIBUCIONES BÁSICAS,24429.44
H02,233,13002,OTRAS REMUNERACIONES,4799.06
H02,233,14300,OTRO PERSONAL,1422.76
H02,233,15000,PRODUCTIVIDAD,11355.96
H02,233,15200,OTROS INCENTIVOS AL RENDIMIENTO,154.51
H02,233,16000,SEGURIDAD SOCIAL,14194.72
H02,233,16204,ACCIÓN SOCIAL,380.19
H02,233,16205,SEGUROS,84.88
H02,233,22611,ACTIVIDADES COLECTIVO MAYORES,80000
H02,233,22741,CENTRO DE OCIO MAYORES,300000
H03,235,22105,ADQUISICIONES BANCO ALIMENTOS,60000
H03,235,22646,ACTIVIDADES DIVERSIDAD,45000
I01,340,13000,RETRIBUCIONES BÁSICAS,181602.53
I01,340,13002,OTRAS REMUNERACIONES,53850.16
I01,340,14300,OTRO PERSONAL,11382.11
I01,340,15000,PRODUCTIVIDAD,25057.74
I01,340,15200,OTROS INCENTIVOS AL RENDIMIENTO,8764.69
I01,340,16000,SEGURIDAD SOCIAL,93999.44
I01,340,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,937.72
I01,340,16204,ACCIÓN SOCIAL,3041.49
I01,340,16205,SEGUROS,594.14
I01,342,13000,RETRIBUCIONES BÁSICAS,266493.08
I01,342,13002,OTRAS REMUNERACIONES,111364.26
I01,342,14300,OTRO PERSONAL,25609.76
I01,342,15000,PRODUCTIVIDAD,46053
I01,342,15200,OTROS INCENTIVOS AL RENDIMIENTO,2781.12
I01,342,16000,SEGURIDAD SOCIAL,153645.39
I01,342,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,979.86
I01,342,16204,ACCIÓN SOCIAL,6843.36
I01,342,16205,SEGUROS,1273.15
I01,342,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,10000
I01,342,20800,ARRENDAMIENTOS INMOVILIZADO MATERIAL,40000
I01,342,21200,REP. MANT. Y CONSERVACION EDIFICIOS,50000
I01,342,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,380000
I01,342,22101,SUMINISTROS: AGUA,110000
I01,342,22102,SUMINISTROS: GAS,60000
I01,342,22104,VESTUARIO,10000
I01,342,22116,TROFEOS DEPORTIVOS,15000
I01,342,22119,MATERIAL TECNICO DEPORTIVO,40000
I01,342,22200,SERVICIOS DE TELECOMUNICACIONES,11000
I01,342,22201,POSTALES,10000
I01,342,22402,SEGUROS DEPORTIVOS,60000
I01,342,22640,CONSEJO SECTORIAL DEPORTES,5000
I01,342,22718,MANTENIMIENTO ASCENSORES,5000
I01,342,22719,MANTENIMIENTO CLIMATIZACION,50000
I01,342,22735,ARBITRAJES Y COORDINACION,10000
I01,342,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,10000
I01,342,48001,FOMENTO DEPORTE ESCOLAR,15000
I01,342,48004,FOMENTO DEPORTE,20000
I01,342,48016,CONVENIO CLUB BALONMANO DE PINTO,25000
I01,342,48017,CONVENIO CLUB VOLEIBOL PINTO,25000
I01,342,48020,CONVENIO PINTOBASKET E.C.B.,25000
I01,342,48904,PROGRAMAS DEPORTIVOS Y ACTIVIDADES,150000
J01,154,12000,SUELDOS DEL GRUPO A1,16392.9
J01,154,12001,SUELDOS DEL GRUPO A2,43245.06
J01,154,12006,TRIENIOS,17858.4
J01,154,12100,COMPLEMENTO DE DESTINO,40931.38
J01,154,12101,COMPLEMENTO ESPECÍFICO,83104.42
J01,154,13000,RETRIBUCIONES BÁSICAS,117132.54
J01,154,13002,OTRAS REMUNERACIONES,47356.12
J01,154,14300,OTRO PERSONAL,14227.64
J01,154,15000,PRODUCTIVIDAD,37219.7
J01,154,15200,OTROS INCENTIVOS AL RENDIMIENTO,1545.06
J01,154,16000,SEGURIDAD SOCIAL,130097.37
J01,154,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,887.32
J01,154,16204,ACCIÓN SOCIAL,3801.87
J01,154,16205,SEGUROS,763.89
J01,154,22101,SUMINISTROS: AGUA,354000
J01,154,22747,TRABAJOS  REALIZADOS POR OTRAS EMPRESAS,20000
J01,165,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,760000
J02,134,22789,ESTUDIO DE TRAFICO,0
J02,134,61015,RAMPA PEATONAL EN SANTA FLORENTINA,0
J02,134,61916,AMPLIACION AREA PEATONAL DEL CASCO,0
J02,134,62901,SEÑALIZACION,0
J02,165,61905,RENOVACION ALUMBRADO PUBLICO EXTERIOR 2021,0
J02,342,60900,TRANSFORM. FUENTE PARQUE GABRIEL MARTIN EN ZONA PATINAJE,0
J02,342,61900,NUEVA CUBIERTA DEL FRONTON Y ROCODROMO,0
J02,342,63205,REDACCION PROYECTO Y ASIS. TECNICA REP. CUBIERTA PABELLON P.,0
J02,450,12000,SUELDOS DEL GRUPO A1,32785.8
J02,450,12001,SUELDOS DEL GRUPO A2,14415.02
J02,450,12003,SUELDOS DEL GRUPO C1,11040.4
J02,450,12006,TRIENIOS,12658.66
J02,450,12100,COMPLEMENTO DE DESTINO,42021.28
J02,450,12101,COMPLEMENTO ESPECÍFICO,75631.78
J02,450,13000,RETRIBUCIONES BÁSICAS,97077.96
J02,450,13002,OTRAS REMUNERACIONES,43679.86
J02,450,14300,OTRO PERSONAL,12804.88
J02,450,15000,PRODUCTIVIDAD,36121.68
J02,450,15200,OTROS INCENTIVOS AL RENDIMIENTO,1390.56
J02,450,15300,COMPLEMENTO DEDICACION ESPECIAL,8063.04
J02,450,16000,SEGURIDAD SOCIAL,118435.52
J02,450,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,1172.92
J02,450,16204,ACCIÓN SOCIAL,3421.68
J02,450,16205,SEGUROS,679.01
J02,450,21000,REPARACIONES Y OBRAS,40000
J02,450,21200,REP. MANT. Y CONSERVACION EDIFICIOS,20000
J02,450,22118,UTILES,1000
J02,450,22632,GASTOS GENERALES,9000
J02,450,22700,CONTRATO GESTION SERVICIOS PUBLICOS- UTE,6170061.02
J02,450,22716,ENCOMIENDA CONTROL DE CALIDAD DE LA UTE,57242.62
J02,450,22718,MANTENIMIENTO ASCENSORES,5000
J02,450,22719,MANTENIMIENTO CLIMATIZACION,57000
J02,450,22750,CONTRATOS REALIZADOS OTRAS EMPRESAS MANT. DIVERSAS INSTALACI,45000
J02,450,22751,INSPECCIONES Y DOCUMENTACION TECNICA,27000
J02,450,22759,CONTRATO DIVERSOS MANTENIMIENTO CORRECTIVO,50000
J02,450,22761,"REDACCION PROYECTOS, D. OBRA, COORD.S.SALUD Y DEMAS",0
J02,450,22770,TRABAJOS REALIZADOS POR OTRAS EMPRESAS,90000
J02,450,22772,CONTRATOS REPOSICION PARQUES YJARDINES,50000
J02,450,60903,CONSTRUCCION PUENTE S/FERROCARRIL TENERIA II,0
J02,450,61901,OBRAS CUBIERTA PABELLONP. ASTURIAS,0
J02,450,62505,MOBILIARIO URBANO,100000
J02,450,62507,"MOBILIARIO URBANO VIAS PUBLICAS, PARQUES Y ZONAS AJARDINADAS",0
J02,450,62508,INVERSIONES INVENTARIABLES SERVICIOS GENERALES,100000
J02,920,63200,ADAPTACION SALON PLENOS A LAS NUEVAS TECNOLOGIAS,0
J02,933,63201,REFORMA SEDE P. CIVIL-PIMER EN PARCELA PARQUE J. CARLOS I,0
J02,1532,60910,REFORMA PLAZA SAGRADA FAMILIA,0
J02,1532,60911,MEJORA PAVIMENTACION CALLES ENTORNO PLAZA DE LA CONSTITUCIO,0
J02,1532,60912,REMODELACION VIAS ENTORNO CALLE EGIDO DE LA FUENTE,0
J02,1532,60913,CONSTRUCCION ROTONDA CALLE NICARAGUA,0
J02,1532,60914,REMODELACION INTERBLOQUES C/ F.G. LORCA,0
J02,1532,61000,OPERACION ASFALTO 2021,0
J02,1532,61002,A.T.PUENTE SOBRE EL FERROCARRIL TENERIA II,0
J02,4411,45320,APORTACION AL CONSORCIO DE TRANSPORTES,150000
K01,132,12001,SUELDOS DEL GRUPO A2,57660.08
K01,132,12003,SUELDOS DEL GRUPO C1,916353.2
K01,132,12006,TRIENIOS,193712.92
K01,132,12100,COMPLEMENTO DE DESTINO,509280.52
K01,132,12101,COMPLEMENTO ESPECÍFICO,1661699.9
K01,132,15000,PRODUCTIVIDAD,377115.62
K01,132,15200,OTROS INCENTIVOS AL RENDIMIENTO,175033.84
K01,132,15300,COMPLEMENTO DEDICACION ESPECIAL,37436.74
K01,132,16000,SEGURIDAD SOCIAL,1296196.01
K01,132,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,8690.92
K01,132,16204,ACCIÓN SOCIAL,33076.23
K01,132,16205,SEGUROS,6280.86
K01,132,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,42210
K01,132,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,5000
K01,132,21200,REP. MANT. Y CONSERVACION EDIFICIOS,5000
K01,132,21300,REPARACIONES MANTENIMIENTO Y CONSERVACION MAQUINARIA,5000
K01,132,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,30000
K01,132,22101,SUMINISTROS: AGUA,1000
K01,132,22103,COMBUSTIBLES Y CARBURANTES,35000
K01,132,22104,VESTUARIO,85000
K01,132,22115,UTILES SEGURIDAD VIAL- KART,10000
K01,132,22118,"UTILES (BALIZAS, CINTAS, MATERIAL VARIOS POLICIA, BALAS)",30000
K01,132,22200,SERVICIOS DE TELECOMUNICACIONES,12500
K01,132,22201,POSTALES,10000
K01,132,22715,CONTRATOS SERVICIO RETIRADA VEHICULOS VIA PUBLICA,12000
K01,132,22719,MANTENIMIENTO CLIMATIZACION,5000
K01,132,22720,MANTENIMIENTO SISTEMA DE ALARMAS,45000
K01,132,22791,CONTRATO SUMINISTRO AGUA POTABLE,10000
K01,132,62400,ADQUISICION VEHICULOS,0
K01,132,62900,INVERSION EQUIPOS VIGILANCIA,0
K01,135,13000,RETRIBUCIONES BÁSICAS,214893.03
K01,135,13002,OTRAS REMUNERACIONES,16079.28
K01,135,14300,OTRO PERSONAL,18495.93
K01,135,15000,PRODUCTIVIDAD,148250.2
K01,135,15200,OTROS INCENTIVOS AL RENDIMIENTO,55000
K01,135,16000,SEGURIDAD SOCIAL,152806.67
K01,135,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,199.5
K01,135,16204,ACCIÓN SOCIAL,4942.43
K01,135,16205,SEGUROS,1018.52
K01,135,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,90000
K01,135,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,4000
K01,135,22104,VESTUARIO,25000
K01,135,22111,"SUMINISTROS DE REPUESTOS MAQUINARIA, UTILLAJE Y ELEM.TPTE",10000
K01,135,22118,"UTILES  (MATERIALES VARIOS PARA PC, MUÑECOS ENTRENAMIENTO RE",30000
K01,135,22502,TASA SERVICIO PREVENCON Y EXTINCION DE INCENDIOS,1626000
K01,135,62400,ADQUISICION VEHICULOS PIMER,26000
K01,135,63400,INVERSION DE REPOSICION EN ELEMENTOS DE TRANSPORTE,0
L01,4310,22753,PROMOCIÓN DEL COMERCIO Y PYMES,120000
M01,311,12000,SUELDOS DEL GRUPO A1,16392.9
M01,311,12006,TRIENIOS,3336.9
M01,311,12100,COMPLEMENTO DE DESTINO,12444.04
M01,311,12101,COMPLEMENTO ESPECÍFICO,8734.32
M01,311,13000,RETRIBUCIONES BÁSICAS,38369.24
M01,311,13002,OTRAS REMUNERACIONES,8734.46
M01,311,14300,OTRO PERSONAL,2845.53
M01,311,15000,PRODUCTIVIDAD,8077.58
M01,311,15200,OTROS INCENTIVOS AL RENDIMIENTO,309.01
M01,311,16000,SEGURIDAD SOCIAL,32188.45
M01,311,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,671.44
M01,311,16204,ACCIÓN SOCIAL,760.37
M01,311,16205,SEGUROS,169.75
M01,311,22130,ADQUISICIONES EPIS,25000
M01,311,22700,LIMPIEZA Y ASEO (CONTROL VECTORIAL),46000
M01,311,22739,T.R.O.E.P. CONTROL E INSPECCIÓN DE AGUAS,10000
M01,311,22744,PROGRAMAS DE SALUD PUBLICA,30000
M01,493,13000,RETRIBUCIONES BÁSICAS,57877.12
M01,493,13002,OTRAS REMUNERACIONES,21477.12
M01,493,14300,OTRO PERSONAL,4268.29
M01,493,15000,PRODUCTIVIDAD,8820.28
M01,493,15200,OTROS INCENTIVOS AL RENDIMIENTO,463.52
M01,493,16000,SEGURIDAD SOCIAL,31636.05
M01,493,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,786.52
M01,493,16204,ACCIÓN SOCIAL,1140.56
M01,493,16205,SEGUROS,169.75
M01,493,22608,ACTIVIDADES OMIC,10000
M02,920,48026,SUBVENCION AL COMITE DE EMERGENCIA AYUDA A UCRANIA,0
M02,927,48007,SUBVENCION A LA COMISION ESPAÑOLA AYUDA AL REFUGIADO-CEAR,0
M02,927,48008,SUBVENCION A FARMACEUTICOS MUNDI-FARMAMUNDI,0
M02,927,48010,SUBVENCION A RED SOS REFUGIADOS EUROPA,0
M02,927,48021,CONVENIO ASOCIACION PINTO CON EL SAHARA,0
M02,927,48022,CONVENIO ONG MEDICUS MUNDI NAM,10000
M02,927,48023,CONVENIO ASOC. FUNDACION VICENTE FERRER,10000
M02,927,48025,SUBVENCION CRUZ ROJA AYUDA A UCRANIA,10000
M02,927,48026,SUBVENCIONES ASOCIACIONES COOPERACION INTERNACIONAL,30000
M02,927,48027,SUBVENCION FUNDACION BANCO DE ALIMENTOS AYUDA A UCRANIA,0
M02,927,48028,SUBVENCION CEAR,10000
M02,927,48040,AYUDAS COOPERACION INTERNACIONAL,0
M03,173,22714,RETIRADA ANIMALES ABANDONADOS,54450
M03,173,22756,CONTROL COLONIAS FELINAS,15000
M03,173,22757,CONTROL COTORRAS Y PALOMAS,15000
M03,173,22776,T.R.O.E.P. SENSIBILIZACION CUIDADO ANIMAL,30000
N01,932,12000,SUELDOS DEL GRUPO A1,16392.9
N01,932,12001,SUELDOS DEL GRUPO A2,28830.04
N01,932,12003,SUELDOS DEL GRUPO C1,22080.8
N01,932,12004,SUELDOS DEL GRUPO C2,9358
N01,932,12006,TRIENIOS,12027.26
N01,932,12100,COMPLEMENTO DE DESTINO,48313.3
N01,932,12101,COMPLEMENTO ESPECÍFICO,52445.96
N01,932,13000,RETRIBUCIONES BÁSICAS,129379.13
N01,932,13002,OTRAS REMUNERACIONES,44487.66
N01,932,14300,OTRO PERSONAL,18495.93
N01,932,15000,PRODUCTIVIDAD,34995.66
N01,932,15200,OTROS INCENTIVOS AL RENDIMIENTO,2008.58
N01,932,16000,SEGURIDAD SOCIAL,139850.24
N01,932,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,1587.6
N01,932,16204,ACCIÓN SOCIAL,4942.43
N01,932,16205,SEGUROS,933.64
N01,932,22780,CONTRATO  SERVICIO COLABORACION BANCARIA,50336
N01,932,22781,CONVENIO COLABORACION RECAUDACION EJECUTIVA,70000
N02,933,13000,RETRIBUCIONES BÁSICAS,58735.32
N02,933,13002,OTRAS REMUNERACIONES,42877.94
N02,933,14300,OTRO PERSONAL,2845.53
N02,933,15000,PRODUCTIVIDAD,10318.28
N02,933,15200,OTROS INCENTIVOS AL RENDIMIENTO,309.01
N02,933,16000,SEGURIDAD SOCIAL,27235.63
N02,933,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,375.62
N02,933,16204,ACCIÓN SOCIAL,760.37
N02,933,16205,SEGUROS,169.75
N02,933,22400,SEGUROS DE RESPONSABILIDAD CIVIL Y REPONSABIL. AUTORIDADES,165000
N02,933,22403,SEGUROS INMUEBLES MUNICIPALES,99000
N02,933,22404,SEGUROS ELEMENTOS DE TRANSPORTE,40000
N02,933,22661,GASTOS PLAZAS GARAJE.,35000
N02,933,22772,ACTUALIZACION INVENTARIO MUNICIPAL,75000
N02,1522,22627,GASTOS MANTENIMIENTO VIVIENDAS MPALES,50000
N03,494,13000,RETRIBUCIONES BÁSICAS,72727.9
N03,494,13002,OTRAS REMUNERACIONES,34563.34
N03,494,14300,OTRO PERSONAL,4268.29
N03,494,15000,PRODUCTIVIDAD,10118.92
N03,494,15200,OTROS INCENTIVOS AL RENDIMIENTO,463.52
N03,494,16000,SEGURIDAD SOCIAL,40528.81
N03,494,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,805.7
N03,494,16204,ACCIÓN SOCIAL,1140.56
N03,494,16205,SEGUROS,254.63
N03,494,22752,"CONTRATOS TRANSPARENCIA Y B. GOBIERNO (QUEJAS, INNOVACION)",240000
