#,Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Vinc. Org.,Vinc. Prog.,Vinc. Eco.,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
A231322719,A,2313,22719,MANTENIMIENTO CLIMATIZACION,A,231,227,7000,0,7000,7898.89
A231348022,A,2313,48022,AYUDAS Y SUBVENCIONES A  ORGANIZACIONES VECINALES,A,231,480,50000,0,50000,0
A320113000,A,3201,13000,RETRIBUCIONES BÁSICAS,0,3,1,320000,-28000,292000,272933.4
A320113002,A,3201,13002,OTRAS REMUNERACIONES,0,3,1,92000,-8000,84000,83866.28
A320115000,A,3201,15000,PRODUCTIVIDAD,0,3,1,43000,-4000,39000,38597.72
A320115200,A,3201,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,3,1,1000,0,1000,317.24
A320116000,A,3201,16000,SEGURIDAD SOCIAL,0,3,1,144000,-30000,114000,132026.05
A320116200,A,3201,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,3,1,3000,0,3000,2449.08
A320116204,A,3201,16204,ACCIÓN SOCIAL,0,3,1,12000,-5000,7000,4552.24
A320116205,A,3201,16205,SEGUROS,0,3,1,1000,0,1000,810.12
A320116209,A,3201,16209,OTROS GASTOS SOCIALES,0,3,1,500,0,500,373.78
A320120600,A,3201,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,320,206,900,0,900,403.92
A320121200,A,3201,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,320,212,2000,0,2000,921.42
A320122100,A,3201,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,320,221,11000,-10990,10,0
A320122101,A,3201,22101,SUMINISTROS: AGUA,A,320,221,1000,0,1000,905.51
A320122103,A,3201,22103,COMBUSTIBLES Y CARBURANTES,A,320,221,5500,0,5500,4989.6
A320122200,A,3201,22200,SERVICIOS DE TELECOMUNICACIONES,A,320,222,600,0,600,512.61
A320122699,A,3201,22699,OTROS GASTOS DIVERSOS,A,320,226,1250,0,1250,2715.49
A320122718,A,3201,22718,MANTENIMIENTO ASCENSORES,A,320,227,1250,0,1250,747.42
A320122719,A,3201,22719,MANTENIMIENTO CLIMATIZACION,A,320,227,2000,0,2000,2192.46
A320122728,A,3201,22728,CONTRATO MANUTENCION NIÑOS E. INFANTIL,A,320,227,70000,44950,114950,118330.52
A320148006,A,3201,48006,TRANSFERENCIAS ESCUELAS INFANTILES,A,320,480,385000,51257.2,436257.2,405928.38
A320213000,A,3202,13000,RETRIBUCIONES BÁSICAS,0,3,1,74000,-71800,2200,0
A320213002,A,3202,13002,OTRAS REMUNERACIONES,0,3,1,30000,-30000,0,0
A320215000,A,3202,15000,PRODUCTIVIDAD,0,3,1,26000,-26000,0,0
A320216000,A,3202,16000,SEGURIDAD SOCIAL,0,3,1,36000,0,36000,33006.52
A320216204,A,3202,16204,ACCIÓN SOCIAL,0,3,1,2500,-828.71,1671.29,0
A320216205,A,3202,16205,SEGUROS,0,3,1,100,0,100,81.01
A320216209,A,3202,16209,OTROS GASTOS SOCIALES,0,3,1,100,0,100,74.2
A320220600,A,3202,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,320,206,8000,-2500,5500,3589.5
A320221200,A,3202,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,320,212,2000,0,2000,2408.99
A320222100,A,3202,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,320,221,102000,0,102000,186946.74
A320222101,A,3202,22101,SUMINISTROS: AGUA,A,320,221,48000,-9000,39000,29049.99
A320222102,A,3202,22102,GAS,A,320,221,240000,-40000,200000,123520.86
A320222200,A,3202,22200,SERVICIOS DE TELECOMUNICACIONES,A,320,222,350,0,350,361.92
A320222699,A,3202,22699,OTROS GASTOS DIVERSOS,A,320,226,2400,0,2400,991.34
A320222718,A,3202,22718,MANTENIMIENTO ASCENSORES,A,320,227,7550,0,7550,5832.43
A320222719,A,3202,22719,MANTENIMIENTO CLIMATIZACION,A,320,227,15000,0,15000,17106.91
A320313000,A,3203,13000,RETRIBUCIONES BÁSICAS,0,3,1,22000,0,22000,24006.55
A320313002,A,3203,13002,OTRAS REMUNERACIONES,0,3,1,3000,0,3000,3381.42
A320315000,A,3203,15000,PRODUCTIVIDAD,0,3,1,5000,0,5000,3655.42
A320316000,A,3203,16000,SEGURIDAD SOCIAL,0,3,1,9000,0,9000,8251.62
A320316204,A,3203,16204,ACCIÓN SOCIAL,0,3,1,1000,0,1000,0
A320316205,A,3203,16205,SEGUROS,0,3,1,50,0,50,40.5
A320316209,A,3203,16209,OTROS GASTOS SOCIALES,0,3,1,50,0,50,37.8
A320320600,A,3203,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,320,206,500,0,500,224.83
A320321200,A,3203,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,320,212,2000,0,2000,154.28
A320322100,A,3203,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,320,221,6400,-6300,100,0
A320322101,A,3203,22101,SUMINISTROS: AGUA,A,320,221,3700,-1500,2200,2045.51
A320322102,A,3203,22102,GAS,A,320,221,2000,-1990,10,0
A320322200,A,3203,22200,SERVICIOS DE TELECOMUNICACIONES,A,320,222,300,0,300,477.33
A320322699,A,3203,22699,OTROS GASTOS DIVERSOS,A,320,226,2000,0,2000,0
A320322718,A,3203,22718,MANTENIMIENTO ASCENSORES,A,320,227,1500,0,1500,1171.62
A320322719,A,3203,22719,MANTENIMIENTO CLIMATIZACION,A,320,227,1500,0,1500,1411.8
A320413000,A,3204,13000,RETRIBUCIONES BÁSICAS,0,3,1,316000,0,316000,352054.07
A320413002,A,3204,13002,OTRAS REMUNERACIONES,0,3,1,63000,0,63000,62848.03
A320415000,A,3204,15000,PRODUCTIVIDAD,0,3,1,75000,0,75000,78423.95
A320416000,A,3204,16000,SEGURIDAD SOCIAL,0,3,1,140000,0,140000,128358.65
A320416204,A,3204,16204,ACCIÓN SOCIAL,0,3,1,10000,0,10000,3022.74
A320416205,A,3204,16205,SEGUROS,0,3,1,1000,0,1000,810.12
A320416209,A,3204,16209,OTROS GASTOS SOCIALES,0,3,1,500,0,500,373.78
A320420600,A,3204,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,320,206,2000,0,2000,898.04
A320421200,A,3204,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,320,212,3000,0,3000,231.41
A320422100,A,3204,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,320,221,24200,-24100,100,0
A320422101,A,3204,22101,SUMINISTROS: AGUA,A,320,221,3500,0,3500,2175.55
A320422200,A,3204,22200,SERVICIOS DE TELECOMUNICACIONES,A,320,222,2200,0,2200,937.25
A320422615,A,3204,22615,GASTOS ESCUELA MUSICA,A,320,226,4000,0,4000,534.34
A320422699,A,3204,22699,OTROS GASTOS DIVERSOS,A,320,226,4600,0,4600,3709.95
A320422719,A,3204,22719,MANTENIMIENTO CLIMATIZACION,A,320,227,7000,0,7000,6960.68
A320522729,A,3205,22729,CONTRATO SERVICIO ACTIVIDADES EXTRAESCOLARES,A,320,227,115000,354430.33,469430.33,312349.66
A320713000,A,3207,13000,RETRIBUCIONES BÁSICAS,0,3,1,12000,0,12000,13756.58
A320713002,A,3207,13002,OTRAS REMUNERACIONES,0,3,1,5000,0,5000,4765.87
A320715000,A,3207,15000,PRODUCTIVIDAD,0,3,1,4000,0,4000,4585.5
A320716000,A,3207,16000,SEGURIDAD SOCIAL,0,3,1,6000,0,6000,5501.09
A320716204,A,3207,16204,ACCIÓN SOCIAL,0,3,1,500,0,500,106.02
A320716205,A,3207,16205,SEGUROS,0,3,1,50,0,50,40.5
A320716209,A,3207,16209,OTROS GASTOS SOCIALES,0,3,1,50,0,50,37.8
A320720600,A,3207,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,320,206,800,0,800,359.48
A320721200,A,3207,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,320,212,2000,0,2000,154.28
A320722100,A,3207,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,320,221,10000,-9990,10,0
A320722101,A,3207,22101,SUMINISTROS: AGUA,A,320,221,1000,0,1000,583.47
A320722200,A,3207,22200,SERVICIOS DE TELECOMUNICACIONES,A,320,222,300,0,300,424.62
A320722718,A,3207,22718,MANTENIMIENTO ASCENSORES,A,320,227,1300,0,1300,1512.39
A320722719,A,3207,22719,MANTENIMIENTO CLIMATIZACION,A,320,227,5000,0,5000,9606.86
A320722746,A,3207,22746,CONTRATO GESTION LUDOTECA MPAL,A,320,227,65000,4000,69000,62082.06
A334312000,A,3343,12000,SUELDOS DEL GRUPO A1,0,3,1,14000,-13990,10,0
A334312006,A,3343,12006,TRIENIOS,0,3,1,1000,-990,10,0
A334312100,A,3343,12100,COMPLEMENTO DE DESTINO,0,3,1,11000,-10990,10,0
A334312101,A,3343,12101,COMPLEMENTO ESPECÍFICO,0,3,1,7000,-6990,10,0
A334313000,A,3343,13000,RETRIBUCIONES BÁSICAS,0,3,1,108000,-50000,58000,21826.35
A334313002,A,3343,13002,OTRAS REMUNERACIONES,0,3,1,31000,-23000,8000,4398.76
A334315000,A,3343,15000,PRODUCTIVIDAD,0,3,1,18000,-5500,12500,10405.75
A334315200,A,3343,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,3,1,1000,0,1000,0
A334316000,A,3343,16000,SEGURIDAD SOCIAL,0,3,1,58000,-7000,51000,53177.16
A334316204,A,3343,16204,ACCIÓN SOCIAL,0,3,1,1000,0,1000,128.71
A334316205,A,3343,16205,SEGUROS,0,3,1,100,0,100,81.01
A334316209,A,3343,16209,OTROS GASTOS SOCIALES,0,3,1,100,0,100,74.19
A334320600,A,3343,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,334,206,14000,0,14000,6282.28
A334321200,A,3343,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,334,212,3000,0,3000,231.41
A334322605,A,3343,22605,ACTIVIDADES RED CIUDADES SALUDABLES,A,334,226,1000,0,1000,2000
A334322608,A,3343,22608,ACTIVIDADES OMIC,A,334,226,3000,0,3000,0
A334322611,A,3343,22611,ACTIVIDADES COLECTIVO MAYORES,A,334,226,3000,0,3000,4158.57
A334322641,A,3343,22641,ACTIVIDADES CONSEJO SECTORIAL MAYORES,A,334,226,0,3000,3000,1233.07
A334322690,A,3343,22690,GASTOS DIVERSOS,A,334,226,15800,-5000,10800,3645.01
A334322700,A,3343,22700,LIMPIEZA Y ASEO,A,334,227,25000,0,25000,33896.34
A334322739,A,3343,22739,T.R.O.E.P. CONTROL E INSPECCIÓN DE AGUAS,A,334,227,6000,0,6000,2502.04
A334322740,A,3343,22740,CONTRATO ASESORÍA JURÍDICA,A,334,227,2000,0,2000,0
A334322741,A,3343,22741,COMIDA CONFRATERNIZACIÓN,A,334,227,9000,-8990,10,10450
A334322742,A,3343,22742,CENTRO DE OCIO MAYORES,A,334,227,115000,25766.66,140766.66,124066.81
A334322744,A,3343,22744,PROGRAMAS DE SALUD PUBLICA,A,334,227,33000,-28000,5000,0
B13263310,B,132,63310,INVER. MAQUINARIA CLIMATIZACION EDIFICIO POLICIA,B,132,63310,0,24769.87,24769.87,0
B13462300,B,134,62300,INSTALACION SOPORTES PARA BICICLETAS,B,134,62300,0,9680,9680,9680
B16063203,B,160,63203,RENOVACION DE COLECTORES DE SANEAMIENTO: C/TRAVESIA ALFARO,B,160,63203,0,29301.21,29301.21,29301.21
B16063204,B,160,63204,RENOVAC. COLECTORES  SANEAMIENTO: AUTO-PORTANTE POL.LAS AREN,B,160,63204,0,42544.14,42544.14,42544.14
B16163218,B,161,63218,MEJORA FUENTES,B,161,63218,0,40755.24,40755.24,0
B16563213,B,165,63213,MEJORA ILUMINACION EN VARIOS PASOS DE PEATONES,B,165,63213,0,50000,50000,0
B17022786,B,170,22786,T.R.O.E.P. PROGRAMA EFICIENCIA ENERGETICA EN COLEGIOS,B,170,227,0,9208.1,9208.1,9208.1
B17022787,B,170,22787,T.R.O.E.P. PROYECTOS EDUCATIVOS DE EFICIENCIA ENERG. EN COLE,B,170,227,0,18000,18000,0
B17022788,B,170,22788,T.R.O.E.P.DISEÑO CARTELES INFORMAT. PARQUE REG.SURESTE,B,170,227,0,3000,3000,2359.5
B17048014,B,170,48014,SUBVENCION A ENTIDADES DE CONSERVACION,B,170,480,0,21000,21000,0
B17161921,B,171,61921,ACTUACIONES EN PARQUES INFANT. AREAS CANINAS Y ZONAS BIOSAL,B,171,61921,0,251387.89,251387.89,251387.89
B17161922,B,171,61922,ACTUACIONES EN ZONAS VERDES DEL MUNICIPIO,B,171,61922,0,424363.71,424363.71,424363.71
B17161923,B,171,61923,REALIZACION ACTUACIONES EN ZONAS VERDES,B,171,61923,0,89616,89616,0
B17163217,B,171,63217,VALLADO EN ZONAS VERDES,B,171,63217,0,41798.24,41798.24,0
B34263211,B,342,63211,OBRAS DE REFORMA Y REMODELAC. PISCINA CLIMATIZADA,B,342,63211,0,39585.17,39585.17,0
B44262201,B,442,62201,REURBANIZ.PL.CRISTO Y CONSTRUC.APARCAMIENTO DISUAS.C/FUENTEV,B,442,62201,0,167900.65,167900.65,167900.65
B44263219,B,442,63219,OBRAS MEJORA ACCESIBILIDAD PARADAS DE AUTOBUS,B,442,63219,0,23721.08,23721.08,0
B45012000,B,450,12000,SUELDOS DEL GRUPO A1,0,4,1,73000,0,73000,112784.8
B45012001,B,450,12001,SUELDOS DEL GRUPO A2,0,4,1,53000,0,53000,54623.62
B45012003,B,450,12003,SUELDOS DEL GRUPO C1,0,4,1,37000,-25000,12000,11573.51
B45012004,B,450,12004,SUELDOS DEL GRUPO C2,0,4,1,52000,-40000,12000,8875.44
B45012006,B,450,12006,TRIENIOS,0,4,1,29000,0,29000,36048.37
B45012100,B,450,12100,COMPLEMENTO DE DESTINO,0,4,1,153000,-26000,127000,126403.35
B45012101,B,450,12101,COMPLEMENTO ESPECÍFICO,0,4,1,283000,-40000,243000,356002.26
B45013000,B,450,13000,RETRIBUCIONES BÁSICAS,0,4,1,303000,-20000,283000,279337.56
B45013002,B,450,13002,OTRAS REMUNERACIONES,0,4,1,116000,-9769.87,106230.13,98728.71
B45015000,B,450,15000,PRODUCTIVIDAD,0,4,1,108000,0,108000,108392.43
B45015200,B,450,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,4,1,13000,-2295.2,10704.8,9548.58
B45016000,B,450,16000,SEGURIDAD SOCIAL,0,4,1,328000,0,328000,314978.11
B45016200,B,450,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,4,1,3000,0,3000,2864.11
B45016204,B,450,16204,ACCIÓN SOCIAL,0,4,1,26000,-6400.9,19599.1,21403.48
B45016205,B,450,16205,SEGUROS,0,4,1,3000,0,3000,2430.35
B45016209,B,450,16209,OTROS GASTOS SOCIALES,0,4,1,2500,0,2500,1870.33
B45020600,B,450,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,B,450,206,8000,-2500,5500,3589.5
B45021000,B,450,21000,REPARACIONES Y OBRAS,B,450,210,40000,-25000,15000,6665.67
B45021200,B,450,21200,REP. MANT. Y CONSERVACION EDIFICIOS,B,450,212,6000,0,6000,3865.76
B45022100,B,450,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,B,450,221,1000000,-197184.77,802815.23,723986.7
B45022101,B,450,22101,SUMINISTROS. AGUA,B,450,221,680000,-204187.98,475812.02,425851.34
B45022118,B,450,22118,UTILES,B,450,221,28000,-24000,4000,0
B45022200,B,450,22200,SERVICIOS DE TELECOMUNICACIONES,B,450,222,10000,-3000,7000,4635.46
B45022201,B,450,22201,POSTALES,B,450,222,6000,0,6000,7863.53
B45022632,B,450,22632,GASTOS GENERALES,B,450,226,8986.37,-1986.37,7000,5249.34
B45022690,B,450,22690,GASTOS DIVERSOS,B,450,226,4377.71,-1377.71,3000,1823.05
B45022700,B,450,22700,CONTRATOS GESTIÓN SERVICIOS PÚBLICOS,B,450,227,5596885.92,69578.78,5666464.7,5593862.78
B45022714,B,450,22714,SERVICIO RETIRADA ANIMALES ABANDONADOS,B,450,227,47000,0,47000,46649.47
B45022718,B,450,22718,MANTENIMIENTO ASCENSORES,B,450,227,1250,0,1250,643.1
B45022719,B,450,22719,MANTENIMIENTO CLIMATIZACION,B,450,227,9000,0,9000,9555.66
B45022747,B,450,22747,TRABAJOS  REALIZADOS POR OTRAS EMPRESAS,B,450,227,65000,-15000,50000,12193.35
B45022749,B,450,22749,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFES.,B,450,227,20000,56664.64,76664.64,61625.58
B45022792,B,450,22792,T.R.O.E.P. CONTROL COLONIAS FELINAS,B,450,227,0,3968.96,3968.96,1855.16
B45044900,B,450,44900,SUBVENCION PERDIDAS GESTIÓN SERVICIOS PÚBLICOS,B,450,449,5990000,0,5990000,5990000
B45046300,B,450,46300,APORTACIÓN MANCOMUNIDAD GESTIÓN RESIDUOS,B,450,463,230000,0,230000,169152.82
B45061904,B,450,61904,MOBILIARIO URBANO,B,450,61904,51000,-26000,25000,14982.16
B45461940,B,454,61940,INVERSION REP. PUENTE SOBRE EL ARROYO CULEBRO,B,454,61940,0,1651.65,1651.65,0
B93362200,B,933,62200,CUBIERTAS GRADERIOS INSTALACIONES DEPORTIVAS MUNICIPALES,B,933,62200,0,64606.1,64606.1,62341.74
B93362702,B,933,62702,MONITORIZACION INSTALACIONES ELECTRICAS EDIFICIOS MUNICIPALE,B,933,62702,0,12075.91,12075.91,12075.91
B93363200,B,933,63200,OBRAS DE MEJORA Y SUSTITUC. CESPED ARTIF. C. FUTBOL,B,933,63200,0,169859.94,169859.94,169121.84
B93363201,B,933,63201,REFORMA Y ACONDIC. VESTUARIOS ESTADIO FUTBOL AMELIA DEL CAST,B,933,63201,0,1089,1089,0
B93363202,B,933,63202,REP. PISTA FUTBOL SALA Y CERRAMIENTO LATERAL POLID.A.CONTADO,B,933,63202,0,5142.5,5142.5,0
B93363216,B,933,63216,MEJORA ACCESIBILIDAD EN EDIFICIOS PUBLICOS,B,933,63216,0,150000,150000,0
B93363301,B,933,63301,MEJORA INSTALAC.CLIMATIZACION EDIFICIOS PUBLICOS,B,933,63301,0,135000,135000,0
B93363302,B,933,63302,NUEVO SISTEMA DE GAS E.I.V.ASUNCION,B,933,63302,0,40000,40000,0
B153161942,B,1531,61942,MEDIDAS DE REDUCCION VELOCIDAD VEHICUL. EN C/MANUEL DE FALLA,B,1531,61942,0,26266.68,26266.68,0.3
B153261000,B,1532,61000,RECONSTRUCCION SENDA TALUD EN LA TENERIA I,B,1532,61000,0,217129.22,217129.22,0
B153261900,B,1532,61900,OBRAS DE REFUERZO FIRME CALLES VALDEMORO-ALPUJARRAS,B,1532,61900,0,87928.66,87928.66,0
B153261941,B,1532,61941,OBRAS DE REMODELACION DE LA CALLE RUPERTO CHAPI,B,1532,61941,0,37434.81,37434.81,0
B153263100,B,1532,63100,"REM.C/FERROCARRIL,S.PASCUAL BAILON Y OTRAS",B,1532,63100,0,100943.3,100943.3,100943.3
B153263101,B,1532,63101,REMODELAC.C/STA.FLORENTINA,B,1532,63101,0,59885.42,59885.42,59885.42
B153263214,B,1532,63214,MEJORA PASOS DE PEATONES,B,1532,63214,0,80000,80000,0
B162161905,B,1621,61905,MINI PUNTOS LIMPIOS MOVILES,B,1621,61905,0,18150,18150,17393.75
B172148003,B,1721,48003,PROGRAMA 50-50,B,1721,48003,0,21000,21000,10121.35
C49112000,C,491,12000,SUELDOS DEL GRUPO A1,0,4,1,29000,0,29000,0
C49112100,C,491,12100,COMPLEMENTO DE DESTINO,0,4,1,22000,0,22000,0
C49112101,C,491,12101,COMPLEMENTO ESPECÍFICO,0,4,1,45000,0,45000,0
C49113000,C,491,13000,RETRIBUCIONES BÁSICAS,0,4,1,188000,0,188000,167985.44
C49113002,C,491,13002,OTRAS REMUNERACIONES,0,4,1,53000,0,53000,39608.73
C49115000,C,491,15000,PRODUCTIVIDAD,0,4,1,40000,0,40000,48807.74
C49115200,C,491,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,4,1,6000,0,6000,4238.9
C49116000,C,491,16000,SEGURIDAD SOCIAL,0,4,1,118000,0,118000,107689.72
C49116200,C,491,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,4,1,1000,0,1000,1326.49
C49116204,C,491,16204,ACCIÓN SOCIAL,0,4,1,3000,0,3000,907.21
C49116205,C,491,16205,SEGUROS,0,4,1,1000,0,1000,810.12
C49116209,C,491,16209,OTROS GASTOS SOCIALES,0,4,1,420,0,420,314.43
C49120600,C,491,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,C,491,206,12000,-3500,8500,5384.24
C49121600,C,491,21600,"REPARACIONES, MTO Y CONSERVACION EQUIPOS PROCESOS DE INFORMA",C,491,216,5000,-1000,4000,325.91
C49122001,C,491,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",C,491,220,46000,-42703.36,3296.64,482.58
C49122002,C,491,22002,MATERIAL INFORMATICO NO INVENTARIABLE,C,491,220,5000,-2000,3000,2339.32
C49122601,C,491,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,C,491,226,10000,5000,15000,11315.86
C49122610,C,491,22610,ACTOS INSTITUCIONALES,C,491,226,5000,0,5000,4417.68
C49122621,C,491,22621,"NOTIFICACIONES, BANDOS E INFORMAS",C,491,226,8000,-3000,5000,3490.28
C49122622,C,491,22622,PUBLICACIONES EN PERIODICOS,C,491,226,15000,-13500,1500,0
C49122690,C,491,22690,GASTOS DIVERSOS,C,491,226,5000,0,5000,6624
C49122721,C,491,22721,CONTRATO SERVICIO REPARTOS,C,491,227,2580,-2570,10,0
C49122736,C,491,22736,MANTENIMIENTO APLICACIONES INFORMÁTICAS,C,491,227,200000,-20000,180000,121109.61
C49122738,C,491,22738,SERVICIOS DEPARTAMENTO PRENSA,C,491,227,30000,0,30000,53617.45
C49162502,C,491,62502,ENSERES DEPARTAMENTO DE PRENSA,C,491,62502,0,2800,2800,0
C49162601,C,491,62601,CONEXION NUEVOS EDIFICIOS MUNICIPALES,C,491,62601,700000,-260818.78,439181.22,213243.3
C49163600,C,491,63600,EQUIPOS PARA PROCESOS DE INFORMACIÓN.,C,491,63600,0,80000,80000,64552.29
C49164100,C,491,64100,GTOS. EN APLICACIONES INFORMATICAS,C,491,64100,20000,40000,60000,30216.64
C49164101,C,491,64101,IMPLANTACION DE LA E- ADMINISTRACIÓN,C,491,64101,0,132201.58,132201.58,123092.7
C91210000,C,912,10000,RETRIBUCIONES BÁSICAS,0,9,1,537000,-16000,521000,515171.93
C91216000,C,912,16000,SEGURIDAD SOCIAL,0,9,1,290000,-24158.72,265841.28,265885.79
C91223301,C,912,23301,INDEMNIZACIONES POR ASISTENCIAS A ORGANOS MPALES,C,912,233,100000,-17000,83000,61157
C91248000,C,912,48000,TRANSFERENCIAS GRUPOS MPALES,C,912,480,60000,-8988.72,51011.28,50448
C92012000,C,920,12000,SUELDOS DEL GRUPO A1,0,9,1,91000,0,91000,75619.44
C92012001,C,920,12001,SUELDOS DEL GRUPO A2,0,9,1,64000,0,64000,37706.4
C92012004,C,920,12004,SUELDOS DEL GRUPO C2,0,9,1,42000,0,42000,31599.14
C92012006,C,920,12006,TRIENIOS,0,9,1,25000,0,25000,29042.19
C92012100,C,920,12100,COMPLEMENTO DE DESTINO,0,9,1,164000,0,164000,77098.31
C92012101,C,920,12101,COMPLEMENTO ESPECÍFICO,0,9,1,323000,0,323000,144574.68
C92013000,C,920,13000,RETRIBUCIONES BÁSICAS,0,9,1,444000,0,444000,832545.03
C92013002,C,920,13002,OTRAS REMUNERACIONES,0,9,1,195000,0,195000,293402.55
C92015000,C,920,15000,PRODUCTIVIDAD,0,9,1,100000,0,100000,189001.12
C92015200,C,920,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,9,1,25000,0,25000,53354.65
C92016000,C,920,16000,SEGURIDAD SOCIAL,0,9,1,430000,0,430000,362569.45
C92016200,C,920,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,9,1,3000,0,3000,8198.37
C92016204,C,920,16204,ACCIÓN SOCIAL,0,9,1,15000,0,15000,8635.27
C92016205,C,920,16205,SEGUROS,0,9,1,6000,0,6000,4860.69
C92016209,C,920,16209,OTROS GASTOS SOCIALES,0,9,1,3600,0,3600,2728.52
C92020600,C,920,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,C,920,206,8000,-2500,5500,3589.5
C92021200,C,920,21200,REP. MANT. Y CONSERVACION EDIFICIOS,C,920,212,4000,0,4000,3214.04
C92022000,C,920,22000,ORDINARIO NO INVENTARIABLE,C,920,220,35000,0,35000,16772.03
C92022100,C,920,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,C,920,221,100000,-50000,50000,43695.07
C92022101,C,920,22101,SUMINISTROS. AGUA,C,920,221,10000,0,10000,9200.69
C92022110,C,920,22110,PRODUCTOS DE LIMPIEZA Y ASEO,C,920,221,10000,-9990,10,0
C92022200,C,920,22200,SERVICIOS DE TELECOMUNICACIONES,C,920,222,24000,-3000,21000,11956.64
C92022201,C,920,22201,POSTALES,C,920,222,30000,0,30000,38504.68
C92022400,C,920,22400,SEGUROS DE RESPONSABILIDAD CIVIL,C,920,224,90000,17853.94,107853.94,90211.18
C92022403,C,920,22403,SEGUROS INMUEBLES MUNICIPALES,C,920,224,51750,42392.19,94142.19,82849.69
C92022404,C,920,22404,SEGUROS ELEMENTOS DE TRANSPORTE,C,920,224,20000,10921.85,30921.85,27564.7
C92022603,C,920,22603,PUBLICACIÓN EN DIARIOS OFICIALES,C,920,226,35000,-7104.93,27895.07,27380.06
C92022604,C,920,22604,"JURÍDICOS, CONTENCIOSOS",C,920,226,100000,-50000,50000,34165.84
C92022627,C,920,22627,GASTOS MANTENIMIENTO VIVIENDAS MPALES,C,920,226,50000,-30000,20000,18450.77
C92022690,C,920,22690,GASTOS DIVERSOS,C,920,226,11150,10000,21150,25099.22
C92022718,C,920,22718,MANTENIMIENTO ASCENSORES,C,920,227,2500,0,2500,1260.19
C92022719,C,920,22719,MANTENIMIENTO CLIMATIZACION,C,920,227,7000,0,7000,5763.74
C92022720,C,920,22720,MANTENIMIENTO ALARMAS EDIFICIOS,C,920,227,20000,4000,24000,21961.5
C92022764,C,920,22764,TROEP- CONTRATO ELABORACION RELACION PUESTOS DE TRABAJO,C,920,227,0,45980,45980,45980
C92023120,C,920,23120,DEL PERSONAL NO DIRECTIVO,C,920,231,1000,0,1000,451.09
C92023300,C,920,23300,OTRAS INDEMNIZACIONES,C,920,233,30000,-8000,22000,12650
C92062500,C,920,62500,INVERSION NUEVA EN MOBILIARIO,C,920,62500,50000,-32000,18000,3613.9
C92083000,C,920,83000,PRESTAMOS C/P AL PERSONAL,C,920,830,50000,0,50000,32200
C93363210,C,933,63210,ADAPTACION SALON PLENO A NUEVA LEGISL.ELECTORAL Y NUEV.TECN,C,933,63210,0,196020,196020,0
D01131000,D,011,31000,INTERESES DE PRESTAMOS Y OTRAS OPER. FINANCIERAS EN EUROS,D,011,310,150000,-31283.85,118716.15,88960.52
D01135200,D,011,35200,INTERESES DE DEMORA,D,011,352,21000,290000,311000,288951.6
D01135900,D,011,35900,OTROS GASTOS FINANCIEROS,D,011,359,25000,0,25000,18281.62
D01191100,D,011,91100,AMORTIZACION PRESTAMO IDAE,D,011,911,0,56133.36,56133.36,56133.36
D01191106,D,011,91106,AMORT DE PRÉSTAMOS A L/P REFINANCIACION FFPP,D,011,911,2263000,418718.88,2681718.88,2632116.99
